BJD - 2454833, Corrected Flux
2063.450825424, 1.006263720,
2063.471257560, 1.007485612,
2063.491689596, 1.008633054,
2063.512121632, 1.009248543,
2063.532553667, 1.011475954,
2063.552985702, 1.010672132,
2063.573417736, 1.010544658,
2063.593849770, 1.010199610,
2063.614281804, 1.007619188,
2063.634713937, 1.005747770,
2063.696010035, 0.997339424,
2063.716441966, 0.997636944,
2063.736873997, 0.997147720,
2063.757306128, 0.995780798,
2063.777738059, 0.993493780,
2063.798170089, 0.993743161,
2063.818602218, 0.992682446,
2063.839034148, 0.991842181,
2063.859466177, 0.991311405,
2063.879898305, 0.991892658,
2063.900330233, 0.991763171,
2063.920762361, 0.990088112,
2063.941194388, 0.990678257,
2063.961626315, 0.990382972,
2063.982058441, 0.990294378,
2064.002490467, 0.990342179,
2064.022922394, 0.990169854,
2064.063786543, 0.990650305,
2064.084218468, 0.989847602,
2064.104650592, 0.990002613,
2064.554155023, 0.998455703,
2064.574587138, 0.998134984,
2064.595019152, 0.998452342,
2064.615451066, 0.997939655,
2064.635883180, 0.998370694,
2064.656315194, 0.998898497,
2064.738043144, 0.996393773,
2064.758475255, 0.997047476,
2064.778907166, 0.997030974,
2064.799339277, 0.992841166,
2064.819771288, 0.995403329,
2064.840203298, 0.994848205,
2064.860635307, 0.996645854,
2064.921931333, 0.995709521,
2064.942363341, 0.997208217,
2064.962795349, 0.997058828,
2064.983227456, 0.997110951,
2065.003659363, 0.997700534,
2065.024091370, 0.998787503,
2065.044523476, 0.998383000,
2065.064955381, 0.999356300,
2065.085387387, 0.998962768,
2065.105819491, 1.000233071,
2065.126251396, 1.001016813,
2065.146683400, 1.001864033,
2065.167115504, 1.002333222,
2065.187547407, 1.002701275,
2065.207979510, 1.005706124,
2065.228411513, 1.006021238,
2065.248843415, 1.008010090,
2065.269275517, 1.008391457,
2065.289707518, 1.008386803,
2065.310139519, 1.009417909,
2065.330571520, 1.009781972,
2065.351003520, 1.010753850,
2065.371435520, 1.012367786,
2065.391867519, 1.011699086,
2065.412299519, 1.012361447,
2065.432731517, 1.012607942,
2065.453163515, 1.012604130,
2065.473595514, 1.011282402,
2065.494027411, 1.011681364,
2065.514459508, 1.012404014,
2065.534891505, 1.010557316,
2065.555323401, 1.009436458,
2065.575755498, 1.008100026,
2065.596187493, 1.007899458,
2065.657483478, 1.006125908,
2065.677915572, 1.007212244,
2065.698347466, 1.010118866,
2065.718779459, 1.012934595,
2065.739211552, 1.017013347,
2065.759643445, 1.019051552,
2065.780075437, 1.020461125,
2065.800507528, 1.019864046,
2065.820939520, 1.019610927,
2065.841371411, 1.017181252,
2065.861803502, 1.014632948,
2065.882235492, 1.012388206,
2065.902667382, 1.009953184,
2065.923099471, 1.008817594,
2065.943531460, 1.006938630,
2065.963963349, 1.004918310,
2065.984395437, 1.004491034,
2066.004827426, 1.001649992,
2066.025259313, 1.001422447,
2066.045691400, 1.000376136,
2066.066123387, 0.997717306,
2066.086555473, 0.995730088,
2066.147851331, 0.993817738,
2066.168283316, 0.994210169,
2066.188715300, 0.993379594,
2066.209147284, 0.993398485,
2066.229579268, 0.991654758,
2066.250011252, 0.992503021,
2066.270443235, 0.994311392,
2066.290875217, 0.995001740,
2066.311307200, 0.994214589,
2066.331739281, 0.992177544,
2066.393035225, 0.996049718,
2066.413467105, 0.997319586,
2066.433899085, 0.996492756,
2066.454331165, 0.994118237,
2066.474763044, 0.994541637,
2066.495195023, 0.993916152,
2066.515627102, 0.992957812,
2066.536058980, 0.993094404,
2066.556491058, 0.997870813,
2066.576923035, 0.990264760,
2066.597354912, 0.991741675,
2066.617786989, 0.990499009,
2066.638218965, 0.990709399,
2066.658650941, 0.989926379,
2066.679082917, 0.990241506,
2066.699514892, 0.989780520,
2066.719946866, 0.989797820,
2066.740378841, 0.989226638,
2066.760810815, 0.991770621,
2066.781242789, 0.993041270,
2066.801674862, 0.991821322,
